date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:04	131585/131585	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:15%20GMT	https://amarresconjurosyhechizos.com/img/about-vision.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/about-vision.jpg	(from https://amarresconjurosyhechizos.com/)
10:03:12	272830/272830	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Oct%202020%2014:57:10%20GMT	https://amarresconjurosyhechizos.com/img/about-mission.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/about-mission.jpg	(from https://amarresconjurosyhechizos.com/)
10:03:28	292529/292529	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Oct%202020%2015:10:38%20GMT	https://amarresconjurosyhechizos.com/img/intro-carousel/3.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/intro-carousel/3.jpg	(from https://amarresconjurosyhechizos.com/)
10:04:10	148734/148734	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:23%20GMT	https://amarresconjurosyhechizos.com/img/plan.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/plan.jpg	(from https://amarresconjurosyhechizos.com/)
10:04:57	1320/1320	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2002:11:25%20GMT	https://amarresconjurosyhechizos.com/img/quote-sign-left.png	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/quote-sign-left.png	(from https://amarresconjurosyhechizos.com/)
10:04:58	1324/1324	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2002:11:26%20GMT	https://amarresconjurosyhechizos.com/img/quote-sign-right.png	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/quote-sign-right.png	(from https://amarresconjurosyhechizos.com/)
10:05:01	17589/17589	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:28%20GMT	https://amarresconjurosyhechizos.com/img/testimonial-4.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/testimonial-4.jpg	(from https://amarresconjurosyhechizos.com/)
10:05:04	19138/19138	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:29%20GMT	https://amarresconjurosyhechizos.com/img/testimonial-5.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/testimonial-5.jpg	(from https://amarresconjurosyhechizos.com/)
10:05:30	7083/7083	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:12:47%20GMT	https://amarresconjurosyhechizos.com/lib/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/jquery/jquery-migrate.min.js	(from https://amarresconjurosyhechizos.com/)
10:05:40	151620/151620	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:30%20GMT	https://amarresconjurosyhechizos.com/img/vision.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/vision.jpg	(from https://amarresconjurosyhechizos.com/)
10:05:46	2303/2303	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:12:01%20GMT	https://amarresconjurosyhechizos.com/lib/easing/easing.min.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/easing/easing.min.js	(from https://amarresconjurosyhechizos.com/)
10:05:47	7078/7078	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:13:26%20GMT	https://amarresconjurosyhechizos.com/lib/superfish/hoverIntent.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/superfish/hoverIntent.js	(from https://amarresconjurosyhechizos.com/)
10:05:48	4474/4474	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:13:29%20GMT	https://amarresconjurosyhechizos.com/lib/superfish/superfish.min.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/superfish/superfish.min.js	(from https://amarresconjurosyhechizos.com/)
10:05:51	9028/9028	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Oct%202020%2002:13:42%20GMT	https://amarresconjurosyhechizos.com/lib/waypoints/waypoints.min.js	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/waypoints/waypoints.min.js	(from https://amarresconjurosyhechizos.com/)
